name,128,64,32,16,8,4,2,1
Thiemo De Bakker,100.0\%,32.73\%,7.449999999999999\%,1.3599999999999999\%,0.18\%,0.0\%,0.0\%,0.0\%
Jared Donaldson,100.0\%,36.919999999999995\%,11.33\%,2.75\%,0.16999999999999998\%,0.0\%,0.0\%,0.0\%
Norbert Gombos,100.0\%,26.919999999999998\%,4.58\%,1.08\%,0.16999999999999998\%,0.0\%,0.0\%,0.0\%
Mathias Bourgue,100.0\%,32.84\%,8.469999999999999\%,1.11\%,0.16\%,0.0\%,0.0\%,0.0\%
Tim Smyczek,100.0\%,29.32\%,5.949999999999999\%,0.58\%,0.16\%,0.0\%,0.0\%,0.0\%
Jay Clarke,100.0\%,36.95\%,9.2\%,1.3\%,0.15\%,0.0\%,0.0\%,0.0\%
Carlos Berlocq,100.0\%,32.95\%,8.4\%,1.2\%,0.15\%,0.0\%,0.0\%,0.0\%
Alessandro Giannessi,100.0\%,37.38\%,11.1\%,1.81\%,0.13999999999999999\%,0.0\%,0.0\%,0.0\%
Sebastian Ofner,100.0\%,33.76\%,8.33\%,1.71\%,0.13999999999999999\%,0.0\%,0.0\%,0.0\%
Yuichi Sugita,100.0\%,30.79\%,6.710000000000001\%,1.0\%,0.13999999999999999\%,0.0\%,0.0\%,0.0\%
Daniel Gimeno Traver,100.0\%,30.73\%,6.2700000000000005\%,1.0699999999999998\%,0.13\%,0.0\%,0.0\%,0.0\%
Adam Pavlasek,100.0\%,38.12\%,11.29\%,2.0\%,0.12\%,0.0\%,0.0\%,0.0\%
Marcos Giron,100.0\%,32.11\%,7.53\%,1.47\%,0.11\%,0.0\%,0.0\%,0.0\%
Donald Young,100.0\%,31.169999999999998\%,7.61\%,1.28\%,0.11\%,0.0\%,0.0\%,0.0\%
Roberto Quiroz,100.0\%,29.9\%,7.380000000000001\%,1.05\%,0.1\%,0.0\%,0.0\%,0.0\%
Christopher Eubanks,100.0\%,27.800000000000004\%,5.8999999999999995\%,0.75\%,0.1\%,0.0\%,0.0\%,0.0\%
Tatsuma Ito,100.0\%,31.269999999999996\%,7.5\%,1.32\%,0.09\%,0.0\%,0.0\%,0.0\%
Miomir Kecmanovic,100.0\%,25.46\%,5.27\%,0.66\%,0.09\%,0.0\%,0.0\%,0.0\%
Tallon Griekspoor,100.0\%,24.09\%,3.91\%,0.5499999999999999\%,0.09\%,0.0\%,0.0\%,0.0\%
Adrian Menendez Maceiras,100.0\%,24.93\%,4.65\%,0.42\%,0.09\%,0.0\%,0.0\%,0.0\%
Ze Zhang,100.0\%,37.15\%,10.23\%,1.77\%,0.08\%,0.0\%,0.0\%,0.0\%
Aleksandr Nedovyesov,100.0\%,24.75\%,5.92\%,0.9199999999999999\%,0.08\%,0.0\%,0.0\%,0.0\%
Tobias Kamke,100.0\%,29.29\%,6.21\%,0.79\%,0.06999999999999999\%,0.0\%,0.0\%,0.0\%
Marc Polmans,100.0\%,21.0\%,3.4000000000000004\%,0.13\%,0.06999999999999999\%,0.0\%,0.0\%,0.0\%
Dudi Sela,100.0\%,29.060000000000002\%,7.12\%,1.1900000000000002\%,0.06\%,0.0\%,0.0\%,0.0\%
Mirza Basic,100.0\%,32.22\%,8.0\%,1.06\%,0.06\%,0.0\%,0.0\%,0.0\%
Steve Darcis,100.0\%,27.67\%,6.4399999999999995\%,0.89\%,0.06\%,0.0\%,0.0\%,0.0\%
Federico Gaio,100.0\%,29.330000000000002\%,6.67\%,0.7799999999999999\%,0.06\%,0.0\%,0.0\%,0.0\%
Andrea Arnaboldi,100.0\%,27.76\%,4.9399999999999995\%,0.76\%,0.06\%,0.0\%,0.0\%,0.0\%
Blaz Kavcic,100.0\%,27.12\%,6.75\%,0.5599999999999999\%,0.06\%,0.0\%,0.0\%,0.0\%
Kimmer Coppejans,100.0\%,23.810000000000002\%,4.31\%,0.5\%,0.06\%,0.0\%,0.0\%,0.0\%
Darian King,100.0\%,33.629999999999995\%,9.370000000000001\%,1.8399999999999999\%,0.05\%,0.0\%,0.0\%,0.0\%
Joao Domingues,100.0\%,30.580000000000002\%,6.529999999999999\%,1.16\%,0.05\%,0.0\%,0.0\%,0.0\%
Nicolas Mahut,100.0\%,28.110000000000003\%,6.47\%,0.74\%,0.05\%,0.0\%,0.0\%,0.0\%
