name,128,64,32,16,8,4,2,1
Santiago Giraldo,100.0\%,34.0\%,8.12\%,1.18\%,0.24\%,0.0\%,0.0\%,0.0\%
Thomaz Bellucci,100.0\%,37.62\%,12.31\%,2.15\%,0.23\%,0.0\%,0.0\%,0.0\%
Lucas Miedler,100.0\%,24.11\%,4.22\%,0.44\%,0.22\%,0.0\%,0.0\%,0.0\%
Filippo Baldi,100.0\%,30.8\%,6.75\%,1.25\%,0.2\%,0.0\%,0.0\%,0.0\%
Thiemo De Bakker,100.0\%,32.73\%,7.45\%,1.36\%,0.18\%,0.0\%,0.0\%,0.0\%
Jared Donaldson,100.0\%,36.92\%,11.33\%,2.75\%,0.17\%,0.0\%,0.0\%,0.0\%
Norbert Gombos,100.0\%,26.92\%,4.58\%,1.08\%,0.17\%,0.0\%,0.0\%,0.0\%
Mathias Bourgue,100.0\%,32.84\%,8.47\%,1.11\%,0.16\%,0.0\%,0.0\%,0.0\%
Tim Smyczek,100.0\%,29.32\%,5.95\%,0.58\%,0.16\%,0.0\%,0.0\%,0.0\%
Jay Clarke,100.0\%,36.95\%,9.2\%,1.3\%,0.15\%,0.0\%,0.0\%,0.0\%
Carlos Berlocq,100.0\%,32.95\%,8.4\%,1.2\%,0.15\%,0.0\%,0.0\%,0.0\%
Alessandro Giannessi,100.0\%,37.38\%,11.1\%,1.81\%,0.14\%,0.0\%,0.0\%,0.0\%
Sebastian Ofner,100.0\%,33.76\%,8.33\%,1.71\%,0.14\%,0.0\%,0.0\%,0.0\%
Yuichi Sugita,100.0\%,30.79\%,6.71\%,1.0\%,0.14\%,0.0\%,0.0\%,0.0\%
Daniel Gimeno Traver,100.0\%,30.73\%,6.27\%,1.07\%,0.13\%,0.0\%,0.0\%,0.0\%
Adam Pavlasek,100.0\%,38.12\%,11.29\%,2.0\%,0.12\%,0.0\%,0.0\%,0.0\%
Marcos Giron,100.0\%,32.11\%,7.53\%,1.47\%,0.11\%,0.0\%,0.0\%,0.0\%
Donald Young,100.0\%,31.17\%,7.61\%,1.28\%,0.11\%,0.0\%,0.0\%,0.0\%
Roberto Quiroz,100.0\%,29.9\%,7.38\%,1.05\%,0.1\%,0.0\%,0.0\%,0.0\%
Christopher Eubanks,100.0\%,27.8\%,5.9\%,0.75\%,0.1\%,0.0\%,0.0\%,0.0\%
Tatsuma Ito,100.0\%,31.27\%,7.5\%,1.32\%,0.09\%,0.0\%,0.0\%,0.0\%
Miomir Kecmanovic,100.0\%,25.46\%,5.27\%,0.66\%,0.09\%,0.0\%,0.0\%,0.0\%
Tallon Griekspoor,100.0\%,24.09\%,3.91\%,0.55\%,0.09\%,0.0\%,0.0\%,0.0\%
Adrian Menendez Maceiras,100.0\%,24.93\%,4.65\%,0.42\%,0.09\%,0.0\%,0.0\%,0.0\%
Ze Zhang,100.0\%,37.15\%,10.23\%,1.77\%,0.08\%,0.0\%,0.0\%,0.0\%
Aleksandr Nedovyesov,100.0\%,24.75\%,5.92\%,0.92\%,0.08\%,0.0\%,0.0\%,0.0\%
Tobias Kamke,100.0\%,29.29\%,6.21\%,0.79\%,0.07\%,0.0\%,0.0\%,0.0\%
Marc Polmans,100.0\%,21.0\%,3.4\%,0.13\%,0.07\%,0.0\%,0.0\%,0.0\%
Dudi Sela,100.0\%,29.06\%,7.12\%,1.19\%,0.06\%,0.0\%,0.0\%,0.0\%
Mirza Basic,100.0\%,32.22\%,8.0\%,1.06\%,0.06\%,0.0\%,0.0\%,0.0\%
Steve Darcis,100.0\%,27.67\%,6.44\%,0.89\%,0.06\%,0.0\%,0.0\%,0.0\%
Federico Gaio,100.0\%,29.33\%,6.67\%,0.78\%,0.06\%,0.0\%,0.0\%,0.0\%
Andrea Arnaboldi,100.0\%,27.76\%,4.94\%,0.76\%,0.06\%,0.0\%,0.0\%,0.0\%
Blaz Kavcic,100.0\%,27.12\%,6.75\%,0.56\%,0.06\%,0.0\%,0.0\%,0.0\%
Kimmer Coppejans,100.0\%,23.81\%,4.31\%,0.5\%,0.06\%,0.0\%,0.0\%,0.0\%
Darian King,100.0\%,33.63\%,9.37\%,1.84\%,0.05\%,0.0\%,0.0\%,0.0\%
Joao Domingues,100.0\%,30.58\%,6.53\%,1.16\%,0.05\%,0.0\%,0.0\%,0.0\%
Nicolas Mahut,100.0\%,28.11\%,6.47\%,0.74\%,0.05\%,0.0\%,0.0\%,0.0\%
Rogerio Dutra Silva,100.0\%,32.0\%,7.24\%,0.62\%,0.05\%,0.0\%,0.0\%,0.0\%
